barcode;price;due_data;stock
7597467000788;1783.21;2026-03;3
7597467000795;1783.21;2026-03;2
6958590304357;4264.0;2033-01;48
5351937;629.85; 2025-07;51
7703763169405;95.16; 2026-03;506
7591818111017;157.17; 2026-09;229
7591818111024;157.17; 2026-09;133
7591196002563;106.59; 2025-02;5238
7591196002808;245.47; 2025-11;3952
7591196002952;56.67; 2025-06;1862
7591196002549;80.0; 2025-07;1508
7591196002792;190.39; 2025-12;2572
7591196002945;150.1; 2025-12;1388
7594001564102;52.23; 2025-02;1
7591083018615;142.47;2025-12;5
7592430000154;286.0;2025-08;10
7592946168300;225.65;2024-10;79
7592512003783;94.03;2026-10;7
7592512003790;121.28;2026-12;15
7592512003776;120.39;2026-12;8
7592601100645;190.27;2026-10;332
7591519007022;39.7; 2026-01;3409
7592454003261;49.96; 2026-11;426
7592454120364;101.86; 2026-02;1161
7750215796634;93.73; 2026-11;99
7594001100263;28.6;2025-08;1972
7592025101204;196.3;2027-06;46
7591062010036;35.43;2027-01;729
7591062010173;88.67;2027-01;988
7591062010029;90.92;2025-10;863
7703153037512;278.85; 2026-11;472
7703153028695;405.6; 2025-02;234
8908010762593;3464.5; 2025-09;10
7592946005711;203.39;2026-10;38
7592710000355;259.34; 2026-11;29
7594001455448;96.84;2028-09;33
7594001455455;146.02;2028-10;51
7594001450337;76.05;2028-10;120
7594001450320;45.63;2028-09;432
7593255000305;24.74;2027-01;4032
7593255000312;29.85;2027-03;1439
7593255000329;52.26;2027-03;2773
7593255000336;95.67;2027-03;962
7593255000343;180.64;2027-02;84
7591616000278;297.58;2025-09;11
7591616000308;210.0;2026-12;50
25525779;90.91;2026-12;1
0011344403228;150.27;2025-09;7
7592368000295;71.24; 2025-11;180
7592368000240;265.2;2025-05;4
7591616000261;89.64;2027-01;167
7593255000244;20.84; 2027-03;4897
7593255000299;24.12; 2027-03;4192
7593255000251;42.16; 2027-03;3860
7593255000282;546.0; 2027-01;16
7593255000268;73.28; 2027-03;1823
7593255000275;143.75; 2027-03;948
7593255001470;29.85; 2027-03;42
7593255001494;79.34; 2027-02;594
7591616002111;74.27;2027-03;110
7591616001992;202.32;2025-10;9
7591487000186;248.43; 2033-10;12
7591487000162;66.57;2034-02;397
7591487000179;133.95;2034-02;288
7592044000113;141.86; 2031-02;298
7592044000083;26.18; 2031-03;2520
7592044000090;42.71; 2031-02;1512
7592044000106;75.08; 2031-02;1079
7591487000018;36.53;2033-11;575
7591487000049;248.43;2033-12;122
7591487000025;66.57;2034-02;756
7591487000032;133.95;2034-09;300
7594001450399;111.54;2025-10;71
17591616000343;1290.74;2026-11;4
7592368000332;240.24; 2026-02;16
7591808526258;222.2; 2026-07;7
7591808526210;226.45; 2026-11;10
8906159251961;171.96; 2026-04;48
7591196002693;361.52;2025-06;402
7703763460854;215.97; 2026-11;140
7591196003430;405.39;2026-02;1912
676194900084;327.83; 2026-07;46
7592803003959;184.6; 2025-11;224
7592803003973;197.6; 2025-11;318
7592803004147;314.6; 2025-06;135
813333012301;52.0;2028-04;404
813333012271;195.0;2033-01;10
813333012257;41.6;2034-01;112
7593255000145;15.44; 2028-11;823
7593255000152;26.33; 2028-09;841
7593255000169;43.29; 2028-09;709
7591442000077;286.43;2028-04;103
7591442000046;33.9;2028-11;1103
7591442000053;74.53; 2028-11;684
7591442000060;149.06;2028-08;170
7591442000114;168.87;2028-08;199
7591442000121;253.31; 2027-10;54
7591442000107;84.44;2028-05;320
7591442000084;563.11;2028-04;11
7591442000091;1125.25;2027-03;6
7592806133011;114.4;2028-10;1266
7592806133028;156.0;2028-11;1085
7591243801620;120.9; 2025-06;164
7592432000084;1160.43;2025-07;2
7592432010335;101.4;2026-03;72
7598431000056;187.69;2025-06;191
7591585116000;127.44; 2025-10;2042
7591585216601;376.42; 2024-11;287
7591585116178;195.33; 2026-01;705
7591585216755;163.51; 2026-09;159
7591585116673;206.32; 2025-06;583
7501008443033;117.94;2025-01;1234
7597178000046;94.9;2025-02;63
7795312100090;512.81;2025-06;7
7703763722686;155.03; 2026-05;754
616513672070;380.76; 2030-12;20
7599408000031;65.79; 2027-07;110
7599408000017;39.86; 2027-07;158
7599408000024;55.55;2027-07;110
7598176000137;101.01; 2025-07;63
7501384546809;159.85; 2024-09;78
7598869002103;138.97;2025-02;74
733739108043;684.45; 2027-09;14
733739030467;1014.0; 2027-07;13
7591020005296;130.69; 2028-10;1598
7591020005302;183.35; 2027-11;1605
7591020005319;251.68; 2027-09;1289
7591519000467;106.74; 2026-09;535
7591519001495;154.04; 2026-09;288
7598578000391;81.54; 2024-10;83
7598578000407;72.49; 2024-10;15
7591062012948;109.98;2024-10;2114
7591062000105;256.62;2024-11;93
7592601201045;199.86;2026-01;855
7592601201021;157.31;2025-11;48
8902502117045;273.0; 2026-04;60
7592368001186;962.0; 2025-08;7
17591616001487;460.98;2026-11;26
7592806133042;182.0;2027-09;954
7592806133097;227.5;2027-01;548
7506195129838;58.03;2024-10;283
7500435145329;90.11;2024-10;146
7593090002649;78.34; 2025-10;81
7593090000089;205.71;2025-08;808
7594000851593;97.5;2026-07;240
7594000851586;79.63;2026-05;140
7594000850909;96.69;2026-11;1139
7594000850923;97.5;2026-12;746
7592616005010;109.59; 2026-03;472
7594000020418;95.38;2026-03;373
7594000020401;90.66;2026-05;220
7592454120203;127.7; 2025-04;791
7592454120302;160.19; 2026-01;949
7703153020071;167.31; 2026-02;55
7703153020064;123.2; 2025-10;61
8906078136097;33.45; 2025-02;59
8906078136103;47.48; 2025-02;53
7591585171740;141.49; 2026-11;161
8908003460512;273.91; 2026-06;4
6942189211454;441.61;2025-09;155
7592806114065;130.0;2026-02;561
7707236124632;254.12; 2025-11;54
7707236124786;376.48; 2026-08;193
733739107893;679.38; 2027-02;25
7591020003131;198.48; 2028-09;222
7591243801750;201.5; 2025-10;85
7598484001154;37.31; 2026-03;1098
8901463160855;101.27; 2024-12;26
7591519001358;36.19; 2025-10;310
7591519001648;85.97; 2025-11;1966
7591519001334;37.06; 2027-11;724
7591519001655;86.83; 2027-11;4211
7597758000763;81.0;2024-12;354
7597758000756;74.53;2025-04;696
7468999191070;481.21;2025-11;28
8903726266663;51.95; 2025-10;71
7598127001466;40.77;2024-09;169
5008081;229.1; 2025-07;287
5007786;174.76; 2025-07;48
7592616014029;52.08; 2027-02;141
7592616013039;115.57; 2026-10;594
7598307000487;34.84;2025-02;265
7591585278166;83.15; 2027-02;2976
7591585178176;31.42; 2026-02;185
7591585278173;76.65; 2027-02;1877
7591585178169;31.6; 2027-02;19
7591020003247;47.22;2024-12;36
7592454886994;49.01; 2025-08;226
7592454887014;43.56; 2026-08;752
8436609070090;49.83; 2025-10;442
7592454889568;100.72; 2026-02;1562
7592454889575;105.17; 2027-02;1743
7750215007822;152.13; 2025-04;20
7590027000686;116.43; 2025-05;108
8903489001761;46.8;2026-10;52
8699525093189;320.74; 2026-09;188
8699525282507;299.0; 2026-09;110
7598578000667;186.55;2025-08;1026
7598578000292;213.2;2026-02;1519
7750215007204;263.29; 2025-06;367
7591519000610;439.17; 2025-10;226
7591519000627;558.39; 2025-10;582
7598828000850;198.77; 2024-11;148
675696260597;187.2;2026-04;110
7840108578437;161.2; 2024-12;892
7592616576916;317.95;2025-08;202
7598650000677;228.15;2026-06;332
7591585173195;436.67; 2025-11;540
7598127001664;178.88;2026-04;402
7598578000025;82.08;2026-05;1287
7598252101024;125.53;2026-06;1378
7598252101147;480.94;2026-03;483
6921875010229;462.33; 2026-08;291
8906082150676;59.8;2026-06;933
7591585470492;170.7; 2026-03;781
8901079005106;96.45;2025-12;7
6942189304330;114.6;2026-09;115
6921875011134;54.78; 2026-04;677
7594000020043;89.71; 2025-11;882
7594000020036;118.99; 2027-01;726
7703763070282;176.53; 2025-09;2235
7703763070299;106.2; 2025-04;1090
