barcode;price;due_data;stock
7599028000596;46.66;;1
7593090000089;102.06;;37
7501165006072;421.06;;6
7592454120203;126.72;2025-04-25;22
7592454120302;158.95;;1
7598981000605;65.83;;255
7594000850909;95.95;2026-11-25;414
7598828001666;1832.62;;10
7598828001676;624.63;;10
8906112611290;44.96;2026-03-25;32
8908003460512;271.8;2025-04-25;31
736372230058;52.24;2024-10-25;184
6942189211454;438.21;2025-07-25;123
8904180213057;152.81;2024-09-25;89
18906047595525;1367.81;2024-11-25;27
7591243801750;199.95;;285
7591020003131;197.48;2028-09-25;362
7591020003247;46.79;2024-12-25;110
7591519001358;35.91;2025-10-25;362
7591585178176;29.04;2026-02-25;172
7597758000763;40.2;2024-12-25;15
7591519001648;72.51;2025-11-25;1
7592454887014;43.23;2026-02-25;376
18906047595136;54.08;2025-02-25;156
7598981002456;67.23;2026-05-25;354
8901463160855;110.0;2024-12-25;23
7591585178169;35.7;2027-02-25;65
7591519001334;36.78;2026-11-25;418
7597758000756;36.98;2024-11-25;246
8903726266663;56.59;2025-10-25;34
7591519001655;73.28;;91
7591585278173;86.06;2026-02-25;202
7598176000359;190.4;2025-02-25;20
7591818210178;168.95;2025-04-25;68
7750215007204;261.26;2025-06-25;154
18906047594481;2317.62;2025-02-25;57
8901463131206;66.11;2025-03-25;113
7703712033344;138.42;;11
7598252101024;127.22;;203
7703763070282;175.17;2025-09-25;1
7598981002463;44.2;;2
7598981000421;435.41;2026-03-25;126
6921875011134;62.68;2026-04-25;1000
7591585470492;152.88;2026-03-25;269
7598578000292;216.72;;2
7591585173195;410.13;2025-11-25;321
7591519000610;326.84;2025-10-25;182
7591519000627;415.57;2025-10-25;152
7591020000758;248.49;2025-11-25;181
7591020008082;365.02;2029-01-25;290
7591020080613;514.76;2025-07-25;108
7591020009003;308.86;2025-11-25;122
7591020009010;444.57;2025-03-25;343
7591020000710;175.49;2026-05-25;212
6942189304347;85.98;2025-07-25;76
7591585213549;261.31;;30
75971304;34.42;2025-04-25;463
7592454003063;154.53;2025-10-25;16
7592454000802;52.64;;3
7594001101581;62.89;2025-11-25;35
7594001101673;38.7;2025-11-25;285
7594001101024;77.4;2026-02-25;90
7593090001024;64.8;;108
7591955003084;212.85;2025-03-25;32
7591955003091;348.3;2025-05-25;26
7591955000878;157.38;2025-03-25;17
7591955000915;206.4;2025-05-25;35
7592349911244;162.54;2025-08-25;190
7591619520636;167.7;2025-05-25;434
7591619518985;87.72;2027-05-25;110
7502214982446;290.55;2027-10-25;126
8906009231020;238.53;2025-08-25;107
7594000490129;136.74;2024-05-25;50
7591519051889;151.93;2026-11-25;143
7591519317732;105.48;;109
7591519051902;266.74;2026-01-25;110
7591519317749;103.84;2027-02-25;115
7591519317718;80.44;2025-06-25;90
7591519051872;177.88;2026-11-25;303
7591519317756;119.88;2025-08-25;242
7591519317343;309.89;2026-05-25;196
7591519317725;91.82;2026-11-25;119
7591519051896;192.61;2026-11-25;310
